mesh_code,centroid_lat,centroid_lon,city_area_fraction,centroid_within_city,population,elderly_population,reported_elderly_population,elderly_ratio,HTKSYORI,HTKSAKI,GASSAN,disclosure_status,suppression_flag,aggregation_target_flag,aggregation_flag,primary_eligible_disclosure,nearest_station_name,nearest_station_distance_m,nearest_bus_stop_name,nearest_bus_stop_distance_m,nearest_public_transport_type,nearest_public_transport_name,nearest_public_transport_distance_m,nearest_medical_name,nearest_medical_distance_m,nearest_hospital_name,nearest_medical_access_class,nearest_hospital_distance_m,nearest_clinic_name,nearest_clinic_distance_m,elderly_population_percentile,elderly_ratio_percentile,transport_distance_percentile,medical_distance_percentile,exploratory_score_a,exploratory_score_b,exploratory_score_c,rank_a_unfiltered,rank_b_unfiltered,rank_c_unfiltered,pareto_frontier,eligibility_population_threshold,eligibility_elderly_threshold,primary_eligible,rank
533512791,35.47708333333334,135.36562500000002,1.0,True,662,207.0,207.0,0.31268882175226587,0,,,unaffected,False,False,False,True,東舞鶴駅,2811.4821437401984,中舞鶴,176.0376723901252,bus_stop,中舞鶴,176.0376723901252,西村医院,125.61346025893292,国家公務員共済組合連合会 舞鶴共済病院,likely_public,2472.6942118209777,西村医院,125.61346025893292,0.8671328671328671,0.2937062937062937,0.16083916083916083,0.038461538461538464,0.13946892268570588,0.03335126412049489,0.005364189334065611,174,262,254,False,True,True,True,198
533512792,35.47708333333334,135.371875,0.7344888458948092,False,519,6.0,6.0,0.011560693641618497,0,,,unaffected,False,False,False,True,東舞鶴駅,2285.0107938980605,安全祈願碑前,146.00884180961884,bus_stop,安全祈願碑前,146.00884180961884,海上自衛隊舞鶴衛生隊第一医務室,257.50623738615417,国家公務員共済組合連合会 舞鶴共済病院,uncertain_access,1947.5814956186928,海上自衛隊舞鶴衛生隊第一医務室,257.50623738615417,0.09090909090909091,0.03146853146853147,0.11538461538461539,0.12237762237762238,0.01048951048951049,0.011125238397965672,0.0012836813536114236,272,274,275,False,True,False,False,
533512793,35.48125,135.36562500000002,0.9999999999999998,True,460,78.0,78.0,0.16956521739130434,0,,,unaffected,False,False,False,True,東舞鶴駅,2998.1810584150326,長浜,363.45701256384194,bus_stop,長浜,363.45701256384194,西村医院,397.55072370856,国家公務員共済組合連合会 舞鶴共済病院,likely_public,2663.4091297382784,西村医院,397.55072370856,0.6783216783216783,0.06993006993006994,0.3986013986013986,0.16433566433566432,0.27037996968066896,0.1114724436402758,0.04443307194052951,98,198,184,False,True,True,True,148
533512794,35.48125,135.371875,0.7894347170786089,True,113,1.0,1.0,0.008849557522123894,0,,,unaffected,False,False,False,True,東舞鶴駅,2511.188909147164,本館前,151.42893619333802,bus_stop,本館前,151.42893619333802,ジャパンマリンユナイテッド（株） 舞鶴診療所,385.2092979339459,国家公務員共済組合連合会 舞鶴共済病院,likely_public,2184.6565420169873,ジャパンマリンユナイテッド（株） 舞鶴診療所,385.2092979339459,0.027972027972027972,0.027972027972027972,0.13286713286713286,0.16083916083916083,0.0037165631571225975,0.004498997505990513,0.0005977688993973408,283,283,281,False,True,False,False,
533512801,35.48541666666668,135.253125,1.0,True,2,,,,2,533512714,,suppressed_source,True,False,False,False,東雲駅,3110.3624114039135,八田・由良川学園前,3831.9980989265127,station,東雲駅,3110.3624114039135,市立舞鶴市民病院加佐診療所,3678.3224136758845,舞鶴赤十字病院,likely_public,8860.259316564172,市立舞鶴市民病院加佐診療所,3678.3224136758845,,,,,,,,,,,,False,False,False,
533512821,35.48541666666668,135.278125,1.0,True,4,,,,2,533512714,,suppressed_source,True,False,False,False,東雲駅,1309.963090496803,八田・由良川学園前,3864.431292638411,station,東雲駅,1309.963090496803,市立舞鶴市民病院加佐診療所,3811.5501825126676,舞鶴赤十字病院,likely_public,7002.657185076756,市立舞鶴市民病院加佐診療所,3811.5501825126676,,,,,,,,,,,,False,False,False,
533512833,35.48958333333334,135.29062499999998,1.0,True,18,8.0,8.0,0.4444444444444444,0,,,unaffected,False,False,False,True,東雲駅,1696.3996796405852,二尾,4567.454362051858,station,東雲駅,1696.3996796405852,市立舞鶴市民病院加佐診療所,4732.375637886209,舞鶴赤十字病院,likely_public,6522.738744780533,市立舞鶴市民病院加佐診療所,4732.375637886209,0.15734265734265734,0.6136363636363636,0.8321678321678322,0.9370629370629371,0.1309354980683652,0.1474399726147978,0.12269480238574083,181,168,95,False,False,False,False,
533512851,35.48541666666668,135.315625,1.0,True,1,,,,2,533512854,,suppressed_source,True,False,False,False,東雲駅,3013.210392779238,二尾,2716.4940578904557,bus_stop,二尾,2716.4940578904557,国土交通省共済組合海上保安学校診療所,3376.4690342462604,舞鶴赤十字病院,likely_public,4913.76211031625,国土交通省共済組合海上保安学校診療所,3376.4690342462604,,,,,,,,,,,,False,False,False,
533512853,35.48958333333334,135.315625,0.9999999999999998,True,6,,,,2,533512854,,suppressed_source,True,False,False,False,丹後神崎駅,2738.5128039326532,二尾,3129.852104911163,station,丹後神崎駅,2738.5128039326532,国土交通省共済組合海上保安学校診療所,3364.078246094217,舞鶴赤十字病院,likely_public,5341.019813769229,国土交通省共済組合海上保安学校診療所,3364.078246094217,,,,,,,,,,,,False,False,False,
533512854,35.48958333333334,135.32187499999998,0.9186049690144207,True,118,,63.0,,1,,533512851;533512853,aggregation_destination,False,True,True,False,丹後神崎駅,3174.6902342721337,藤の森,2669.3948129045,bus_stop,藤の森,2669.3948129045,国土交通省共済組合海上保安学校診療所,2797.574834912104,舞鶴赤十字病院,likely_public,5160.475886016659,国土交通省共済組合海上保安学校診療所,2797.574834912104,,,,,,,,,,,,True,False,False,
