mesh_code,transport_terrain_elderly_weight_coverage,transport_weighted_mean_ascent_m,transport_weighted_median_ascent_m,transport_weighted_p90_ascent_m,transport_weighted_mean_descent_m,transport_weighted_mean_maximum_grade_percent,medical_terrain_elderly_weight_coverage,medical_weighted_mean_ascent_m,medical_weighted_median_ascent_m,medical_weighted_p90_ascent_m,medical_weighted_mean_descent_m,medical_weighted_mean_maximum_grade_percent,terrain_metric_status
523973584,1.0,0.22048636722710163,0.20604720488137263,0.20604720488137263,3.8888042568936187,13.379833419213579,0.0,,,,,,unavailable
523973681,1.0,0.6427385639334684,0.3699798115647237,0.3699798115647237,14.511074860560571,22.242023678556784,0.0,,,,,,unavailable
523973682,1.0,0.3549527441790555,0.30149959262439463,0.6286640138637356,3.6759548681143794,11.212102950958895,0.0,,,,,,unavailable
523973684,0.4228689501611128,1.6919871836560774,1.8444258894034435,1.8444258894034435,0.25399372854444113,3.6860351996018945,1.0,1.0571618693364673,0.4136611716365617,1.8444258894034435,2.0868669731603813,4.96740743144493,partial
523973774,1.0,0.31206655403939626,0.16950075896364902,1.0238137101506997,0.6586663103711784,1.4359433266900405,1.0,2.977196129366428,3.4681012542505667,4.011069515877468,2.034401946343306,5.767046501547669,available
523973781,1.0,1.7487371369304188,0.5583634812682354,3.932078692436186,0.5542713239106116,3.8036174091651516,0.9592728028728986,0.7073267931663666,0.4425865043110071,1.1350593525373258,2.39645193629633,3.711146954410617,partial
523973782,0.9369540178768814,1.3417954203587108,1.014816248237957,2.6633693550052877,0.7403005917253693,3.031217393175276,0.9531433055899914,0.8851981705116834,0.6330617697924397,1.7254692677819383,1.1339168530287327,3.2143409455116196,partial
523973783,0.9716602426241138,2.2876906844674156,2.3903071204513,4.0888483454839974,1.4977136028727414,5.011966258760107,0.8191968105987842,1.64398737799926,1.8295599541261454,3.2766006892524073,1.361438625701197,4.9575962631191235,partial
523973784,0.9113404572414017,0.7447881753627228,0.5342087671612719,2.062428495028,0.9841478847421702,3.1003104446636995,0.8796572496714945,0.9157379859409759,0.7006509269408454,2.269228570972307,0.9133980856310252,3.5727253014414395,partial
523973791,0.9903417734241855,1.233306021405348,0.18092208478877225,5.564043065660177,2.4627222348935542,4.443513672860492,0.9903417734241855,1.1736038708248688,0.4853358835719228,3.611790933087965,2.5359920409549437,3.722109488494024,partial
523973793,0.9522681820999137,6.0198400522893145,0.7946645675536343,28.104880635343783,3.6839604241484896,8.802874626788912,0.9522681820999137,4.706026903333404,0.3063146830287833,19.815791580723428,5.429640100540787,5.943916454940758,partial
523973794,1.0,1.888050509038057,1.9769769899153857,4.257528312528251,1.4613116451176906,6.585622862983371,1.0,5.302701394121802,3.5106346433262132,7.596100923967953,6.875121444348271,7.318938812604439,available
523973853,0.9802441049607186,0.2983428924628909,0.09650923900071362,0.6072051564810756,0.5706377459754748,1.3326977337975625,0.9802441049607186,2.7270362787555014,2.6969099585183454,3.304115114999421,0.6241373837100685,1.7557813262395332,partial
523973854,1.0,0.23855403679017545,0.16723372508520562,0.463542461832537,0.5173239976896461,1.2364822474137258,1.0,1.9948933089176382,1.9764190396773351,2.521479536841894,0.9641191874184896,1.9373591168440476,available
