mesh_code,centroid_lat,centroid_lon,city_area_fraction,centroid_within_city,population,elderly_population,reported_elderly_population,elderly_ratio,HTKSYORI,HTKSAKI,GASSAN,disclosure_status,suppression_flag,aggregation_target_flag,aggregation_flag,primary_eligible_disclosure,nearest_station_name,nearest_station_distance_m,nearest_bus_stop_name,nearest_bus_stop_distance_m,nearest_public_transport_type,nearest_public_transport_name,nearest_public_transport_distance_m,nearest_medical_name,nearest_medical_distance_m,nearest_hospital_name,nearest_hospital_distance_m,nearest_clinic_name,nearest_clinic_distance_m,elderly_population_percentile,elderly_ratio_percentile,transport_distance_percentile,medical_distance_percentile,exploratory_score_a,exploratory_score_b,exploratory_score_c,rank_a_unfiltered,rank_b_unfiltered,rank_c_unfiltered,pareto_frontier,eligibility_population_threshold,eligibility_elderly_threshold,primary_eligible,rank
533903252,35.35208333333334,139.44687499999998,1.0000000000000002,True,537,211.0,211.0,0.3929236499068901,0,,,unaffected,False,False,False,True,辻堂,1692.454670796992,有藤,343.94494742783024,bus_stop,有藤,343.94494742783024,特別養護老人ホームかりん医務室,624.0380356592555,湘南中央病院,1058.8811355429084,特別養護老人ホームかりん医務室,624.0380356592555,0.3650190114068441,0.9239543726235742,0.8212927756653993,0.8669201520912547,0.299787477048967,0.31644233688502077,0.25989180519834404,80,63,25,False,True,True,True,25
533903253,35.35625,139.440625,1.0,True,684,363.0,363.0,0.5307017543859649,0,,,unaffected,False,False,False,True,辻堂,2205.211304490593,西高校前,185.46428344706231,bus_stop,西高校前,185.46428344706231,医療法人社団関根耳鼻咽喉科医院,459.6009771704191,村田会湘南大庭病院,1451.6979220029702,医療法人社団関根耳鼻咽喉科医院,459.6009771704191,0.4828897338403042,0.9961977186311787,0.4866920152091255,0.7262357414448669,0.2350185776865359,0.35069178389162775,0.17067889101949946,102,51,60,False,True,True,True,60
533903254,35.35625,139.44687499999998,1.0000000000000002,True,2305,896.0,896.0,0.38872017353579175,0,,,unaffected,False,False,False,True,辻堂,2154.2000850539307,西高校前,382.5667989701853,bus_stop,西高校前,382.5667989701853,医療法人社団関根耳鼻咽喉科医院,259.65776999257866,村田会湘南大庭病院,1221.5125948048674,医療法人社団関根耳鼻咽喉科医院,259.65776999257866,0.9429657794676806,0.9011406844106464,0.8745247148288974,0.3840304182509506,0.8246468793823822,0.362127542685307,0.31668948599855745,2,48,18,False,True,True,True,18
533903261,35.35208333333334,139.453125,1.0,True,138,41.0,41.0,0.2971014492753623,0,,,unaffected,False,False,False,True,辻堂,1813.1442411285987,大六天,203.0404327368222,bus_stop,大六天,203.0404327368222,四ツ谷クリニック,733.0205569784363,湘南中央病院,1076.017108648101,四ツ谷クリニック,733.0205569784363,0.07604562737642585,0.7338403041825095,0.5475285171102662,0.935361216730038,0.04163714959013431,0.07113013054981278,0.03894577490179863,220,210,168,False,True,True,True,168
533903262,35.35208333333334,139.45937499999997,1.0,True,817,164.0,164.0,0.200734394124847,0,,,unaffected,False,False,False,True,藤沢本町,1557.5992388992288,観音坂下,218.86926881383786,bus_stop,観音坂下,218.86926881383786,荏原製作所藤沢事業所診療所,686.9798302363523,湘南中央病院,1356.4021664707514,荏原製作所藤沢事業所診療所,686.9798302363523,0.30038022813688214,0.20152091254752852,0.5665399239543726,0.908745247148289,0.1701773916060663,0.27296910465671037,0.15464789579410587,135,84,66,False,True,True,True,66
533903263,35.35625,139.453125,1.0,True,331,81.0,81.0,0.24471299093655588,0,,,unaffected,False,False,False,True,善行,1961.6316746876396,舟地蔵,169.38844891450026,bus_stop,舟地蔵,169.38844891450026,医療法人社団栄友会　湘南ゆずクリニック,354.33870905646114,村田会湘南大庭病院,1233.6794236429052,医療法人社団栄友会　湘南ゆずクリニック,354.33870905646114,0.16730038022813687,0.4524714828897338,0.41064638783269963,0.5665399239543726,0.0687012968237216,0.09478234469198628,0.03892202747807801,199,190,169,False,True,True,True,169
533903264,35.35625,139.45937499999997,1.0,True,17,5.0,5.0,0.29411764705882354,0,,,unaffected,False,False,False,True,善行,1445.8694799390444,老人センター,364.66261965046294,bus_stop,老人センター,364.66261965046294,荏原製作所藤沢事業所診療所,291.0762636903095,村田会湘南大庭病院,1482.2420909638074,荏原製作所藤沢事業所診療所,291.0762636903095,0.0076045627376425855,0.7167300380228137,0.8555133079847909,0.44866920152091255,0.006505804623458486,0.0034119330914137835,0.00291895416565818,259,262,252,False,False,False,False,
533903271,35.35208333333334,139.465625,0.9999999999999998,True,3146,459.0,459.0,0.1458995549904641,0,,,unaffected,False,False,False,True,藤沢本町,1023.5927571836085,中郷,270.3600681716386,bus_stop,中郷,270.3600681716386,藤沢本町ファミリークリニック,733.0907143776949,湘南長寿園病院,1321.469391812866,藤沢本町ファミリークリニック,733.0907143776949,0.5665399239543726,0.030418250950570342,0.714828897338403,0.9391634980988594,0.4049791091384869,0.5320736167936503,0.3803415967954611,48,14,10,False,True,True,True,10
533903272,35.35208333333334,139.471875,1.0,True,2717,715.0,715.0,0.2631578947368421,0,,,unaffected,False,False,False,True,藤沢本町,561.0310233954991,修道院下,52.941695252419784,bus_stop,修道院下,52.941695252419784,藤沢本町ファミリークリニック,193.60404842006912,湘南長寿園病院,754.6574421955332,藤沢本町ファミリークリニック,193.60404842006912,0.870722433460076,0.5627376425855514,0.045627376425855515,0.2737642585551331,0.03972878023391982,0.23837268140351892,0.010876320064038885,223,103,222,False,True,True,True,222
533903273,35.35625,139.465625,1.0,True,481,90.0,90.0,0.18711018711018712,0,,,unaffected,False,False,False,True,善行,989.0998248305921,関東航空前,174.62778357704263,bus_stop,関東航空前,174.62778357704263,荏原製作所藤沢事業所診療所,393.25911825255014,湘南長寿園病院,1378.0663956025685,荏原製作所藤沢事業所診療所,393.25911825255014,0.18250950570342206,0.1444866920152091,0.43346007604562736,0.6349809885931559,0.07911058422125519,0.11589006635920716,0.05023371697699474,189,171,154,False,True,True,True,154
533903274,35.35625,139.471875,0.9999999999999998,True,2771,835.0,835.0,0.3013352580295922,0,,,unaffected,False,False,False,True,善行,715.0787656183497,善行,166.95109311343472,bus_stop,善行,166.95109311343472,本藤沢内科クリニック,260.9588180215702,湘南長寿園病院,849.9140334299191,本藤沢内科クリニック,260.9588180215702,0.9277566539923955,0.752851711026616,0.39923954372623577,0.39543726235741444,0.37039714322890316,0.36686955138862787,0.1464688323034446,58,44,73,False,True,True,True,73
533903281,35.35208333333334,139.47812499999998,1.0000000000000002,True,3186,823.0,823.0,0.25831763967357185,0,,,unaffected,False,False,False,True,藤沢本町,476.6083486961408,白旗神社前,268.25425724320564,bus_stop,白旗神社前,268.25425724320564,湘南長寿園病院,195.15401340658525,湘南長寿園病院,195.15401340658525,白旗なのはなクリニック,315.70471363116405,0.9182509505703422,0.5399239543726235,0.7034220532319392,0.27756653992395436,0.64591796903237,0.2548757391316919,0.17928521573902284,16,92,54,False,True,True,True,54
533903282,35.35208333333334,139.484375,1.0,True,1209,334.0,334.0,0.2762613730355666,0,,,unaffected,False,False,False,True,藤沢本町,885.9686089707412,藤沢市民病院,302.92665584276455,bus_stop,藤沢市民病院,302.92665584276455,藤沢市民病院,266.1884169181447,藤沢市民病院,266.1884169181447,白旗なのはなクリニック,469.92718413393925,0.4448669201520912,0.6349809885931559,0.7642585551330798,0.40304182509505704,0.33999334962194044,0.17929997542251586,0.13703154015180868,65,128,81,False,True,True,True,81
533903283,35.35625,139.47812499999998,1.0000000000000002,True,1684,479.0,479.0,0.2844418052256532,0,,,unaffected,False,False,False,True,善行,830.418681239091,聖園女学院前,85.91819774563376,bus_stop,聖園女学院前,85.91819774563376,神奈川県立総合教育センター巡回診療型診療所,409.1088414674474,湘南長寿園病院,436.98778469942636,神奈川県立総合教育センター巡回診療型診療所,409.1088414674474,0.5855513307984791,0.6806083650190115,0.11787072243346007,0.6577946768060836,0.06901935838309069,0.3851725483959577,0.0454005665409684,197,38,158,False,True,True,True,158
