mesh_code,transport_terrain_elderly_weight_coverage,transport_weighted_mean_ascent_m,transport_weighted_median_ascent_m,transport_weighted_p90_ascent_m,transport_weighted_mean_descent_m,transport_weighted_mean_maximum_grade_percent,medical_terrain_elderly_weight_coverage,medical_weighted_mean_ascent_m,medical_weighted_median_ascent_m,medical_weighted_p90_ascent_m,medical_weighted_mean_descent_m,medical_weighted_mean_maximum_grade_percent,terrain_metric_status
533502754,1.0,1.0068349260761538,0.6817539081248682,1.8505699498120691,0.27664196077665487,1.3894998760829664,1.0,10.531315235204188,10.531603787547159,10.531603787547159,12.869852847686811,4.58497155461162,available
533502852,1.0,2.813548201319909,2.0201663453374152,4.976759785697585,1.1773797888722433,3.408728442624227,1.0,10.512125808305047,10.46223363081501,10.541014891890292,9.300595278859875,5.5427678792628905,available
533502854,1.0,2.033091077870672,1.7348099362877427,2.4920565248985547,0.7900183492653858,2.361652236701463,1.0,10.770775580148252,10.472494438565324,11.229741027176136,5.0711623088894955,4.770419839950249,available
533502863,1.0,3.713784013973349,5.170118855761363,5.170118855761363,1.1651503746349106,3.7889642569199524,1.0,11.694941897528125,12.551593501520195,12.551593501520195,4.689767715536215,4.964589581798096,available
533512061,1.0,0.19990898328286233,0.2248860888878017,0.2805542933670342,7.5042293756304606,4.028860311783025,1.0,0.9455006301586962,0.9704777357636356,1.026145940242868,9.754103130806454,7.975638922176022,available
533512062,1.0,5.375112454084462,8.014384264025129,8.014384264025129,9.023659888327703,27.453007487204715,1.0,5.955533924162848,8.759975910900963,8.759975910900963,11.108363466706248,27.453007487204715,available
533512063,1.0,1.1188860966765246,0.9708446180378445,2.2072892393189836,0.9870766898915845,2.596231207374989,1.0,1.0247407760127356,0.8299124160647668,1.6166375569684401,2.39214363828704,6.665715916353532,available
533512064,1.0,1.264162821348072,1.3159810469954714,2.0337564341228074,1.1214937353728933,1.7114778239829,1.0,1.4140497331628827,1.5670774098725584,1.9155166749725119,2.775662755487861,3.9210058898212194,available
533512152,1.0,1.1501953910273943,1.1231708337952622,1.2867132447203264,3.1519540781241093,2.2810489667563747,1.0,2.713067738399985,2.7319815724526446,3.1138069233049688,2.8976184238814984,2.428468625752959,available
533512154,1.0,2.3032030433195683,2.123472060669421,3.330015011459552,4.906608273011089,5.04812823019414,1.0,4.153505101283792,3.1638069233049695,7.284825996696416,6.81361327203893,6.512312706466503,available
533512161,1.0,1.3107413516311042,1.3121810121803463,2.3159800241062705,1.0061514912387397,1.7317908721974218,1.0,2.0586862729268147,2.218078064341597,3.2192194675318833,0.7971621975874854,1.7140848452027175,available
533512162,1.0,1.6858358678002032,1.5816265526788165,2.4714968077922688,1.7891299226119883,1.8049264435915509,1.0,2.295624613322813,2.0947330937064024,3.293593319177452,1.9815402076480664,2.0360338441656705,available
533512163,1.0,1.222358753001898,1.1898309843405386,2.066187755323841,0.7238142340548301,1.4337958921966099,1.0,1.9781045291007004,1.3813427601663202,3.9840729457128248,2.522015132442971,2.573445459598921,available
533512164,1.0,3.2436252965299808,2.8659070353251366,5.192348187740807,4.403604874841436,6.345100950071783,1.0,2.5644446693804697,1.506307599744786,4.995390825498752,5.035630249316314,6.384687657900476,available
533512252,1.0,6.788432446008114,6.130392416480757,14.065126471535308,12.056193143275715,16.648581496531563,1.0,10.143153934301145,6.159051063623183,17.091458993412914,16.9237927323428,19.27310352127544,available
533512254,1.0,4.253568634860803,4.158021832336759,4.662543375948091,6.20402420478677,15.5805808045883,1.0,3.7936213236477916,3.713957607537501,4.491122389053362,6.030059383581366,14.796541411189015,available
533512261,1.0,2.7270542810377707,2.409627551549703,5.993476544212328,3.1590478908868826,6.746354861394455,1.0,1.7041284126519933,0.6757103670002991,5.993476544212328,2.960618684360742,5.892192508191098,available
